class,f1_score,precision,recall,support
 The_Eiffel_Tower,0.94,0.96,0.91,80.0
The_Great_Wall_of_China,0.63,0.6,0.66,80.0
    The_Mona_Lisa,0.9,0.87,0.94,80.0
   airplane,0.91,0.91,0.91,80.0
alarm_clock,0.92,0.94,0.91,80.0
  ambulance,0.83,0.82,0.84,80.0
angel,0.92,0.89,0.96,80.0
 animal_migration,0.78,0.73,0.82,80.0
  ant,0.88,0.89,0.88,80.0
anvil,0.88,0.9,0.86,80.0
apple,0.92,0.94,0.9,80.0
  arm,0.83,0.84,0.81,80.0
  asparagus,0.79,0.77,0.81,80.0
  axe,0.91,0.96,0.86,80.0
   backpack,0.91,0.9,0.91,80.0
     banana,0.8,0.71,0.91,80.0
    bandage,0.84,0.89,0.8,80.0
 barn,0.8,0.79,0.8,80.0
   baseball,0.82,0.86,0.78,80.0
     baseball_bat,0.88,0.96,0.81,80.0
     basket,0.76,0.79,0.74,80.0
 basketball,0.8,0.79,0.82,80.0
  bat,0.86,0.9,0.82,80.0
    bathtub,0.8,0.74,0.88,80.0
beach,0.82,0.84,0.8,80.0
 bear,0.55,0.62,0.49,80.0
beard,0.77,0.75,0.79,80.0
  bed,0.85,0.87,0.82,80.0
  bee,0.93,0.9,0.95,80.0
 belt,0.87,0.85,0.9,80.0
bench,0.68,0.74,0.64,80.0
    bicycle,0.83,0.81,0.85,80.0
 binoculars,0.86,0.86,0.85,80.0
 bird,0.61,0.68,0.55,80.0
    birthday_cake,0.63,0.65,0.61,80.0
 blackberry,0.59,0.62,0.56,80.0
  blueberry,0.69,0.73,0.65,80.0
 book,0.89,0.9,0.89,80.0
  boomerang,0.82,0.84,0.8,80.0
  bottlecap,0.74,0.81,0.69,80.0
     bowtie,0.93,0.91,0.94,80.0
   bracelet,0.8,0.83,0.78,80.0
brain,0.8,0.75,0.86,80.0
bread,0.76,0.86,0.69,80.0
     bridge,0.85,0.88,0.82,80.0
   broccoli,0.87,0.86,0.89,80.0
broom,0.78,0.82,0.75,80.0
     bucket,0.76,0.79,0.74,80.0
  bulldozer,0.86,0.83,0.89,80.0
  bus,0.59,0.51,0.71,80.0
 bush,0.72,0.76,0.69,80.0
  butterfly,0.92,0.95,0.89,80.0
     cactus,0.92,0.95,0.89,80.0
 cake,0.65,0.66,0.65,80.0
 calculator,0.86,0.88,0.84,80.0
   calendar,0.65,0.56,0.79,80.0
